Passenger ID,Flight ID,Ticket Class,Age,Gender,Feedback Score,Check-in Luggage,Frequent Flyer
P0570,FL2047,Economy,55,Female,2,N,N
P0571,FL2068,Economy,64,Female,5,N,N
P0572,FL0205,Economy,55,Female,2,Y,Y
P0573,FL0363,Business,45,Male,3,N,Y
P0574,FL2261,Economy,29,Female,3,Y,N
P0575,FL1546,Economy,67,Female,5,N,Y
P0576,FL2622,Economy,56,Female,3,N,N
P0577,FL1019,Business,57,Female,1,N,N
P0578,FL1280,Economy,46,Male,2,N,Y
P0579,FL0584,Economy,40,Other,2,N,Y
P0580,FL2240,Economy,50,Other,2,N,N
P0581,FL2182,Economy,32,Other,1,N,Y
P0582,FL1059,Economy,27,Other,4,Y,N
P0583,FL2553,Business,23,Female,1,Y,N
P0584,FL0463,Economy,66,Other,2,N,N
P0585,FL2457,Economy,28,Male,4,Y,Y
P0586,FL1947,Business,18,Female,2,Y,Y
P0587,FL1043,Economy,50,Male,4,N,N
P0588,FL2869,Economy,28,Female,3,N,N
P0589,FL1074,Economy,24,Female,3,Y,N
P0590,FL2855,Economy,19,Other,4,N,N
P0591,FL1926,Business,48,Other,1,Y,N
P0592,FL2436,Economy,66,Other,1,Y,N
P0593,FL1892,Business,27,Male,3,Y,N
P0594,FL1695,Economy,24,Male,3,Y,N
P0595,FL2567,Economy,34,Other,4,Y,N
P0596,FL2383,Economy,57,Other,4,N,N
P0597,FL1562,Economy,62,Male,3,N,N
P0598,FL1285,Business,21,Male,1,Y,N
P0599,FL2784,Economy,61,Female,3,Y,N
P0600,FL1563,Business,20,Female,1,Y,N
P0601,FL1731,Economy,21,Male,5,N,Y
P0602,FL1288,Economy,63,Other,2,Y,N
P0603,FL1065,Economy,56,Male,4,N,Y
P0604,FL0102,Economy,59,Other,3,Y,Y
P0605,FL2378,Economy,21,Female,4,N,N
P0606,FL1123,Business,65,Other,5,N,N
P0607,FL1682,Economy,68,Female,3,Y,Y
P0608,FL1273,Economy,41,Female,4,N,N
P0609,FL0120,Economy,68,Female,3,Y,Y
P0610,FL2075,Business,19,Female,2,Y,N
P0611,FL1514,Economy,43,Female,2,Y,N
P0612,FL1379,Business,21,Male,4,N,N
P0613,FL1422,Economy,21,Male,4,Y,N
P0614,FL0486,Economy,36,Male,4,N,N
P0615,FL1960,Economy,48,Female,4,Y,N
P0616,FL2512,Economy,19,Male,1,Y,Y
P0617,FL0410,Economy,50,Female,5,N,N
P0618,FL0026,Business,52,Male,1,N,N
P0619,FL1623,Economy,49,Other,2,Y,N
P0620,FL0709,Economy,40,Female,1,N,N
P0621,FL2943,Economy,34,Male,4,Y,Y
P0622,FL0455,First,21,Male,5,N,Y
P0623,FL1961,Economy,45,Female,5,N,N
P0624,FL2181,Economy,53,Female,2,N,N
P0625,FL2106,Economy,26,Male,5,Y,N
P0626,FL1038,Economy,66,Female,1,Y,N
P0627,FL1759,Economy,59,Female,3,N,N
P0628,FL0597,Business,22,Male,2,Y,Y
P0629,FL2921,First,36,Other,5,N,N
P0630,FL2543,Business,23,Female,4,N,N
P0631,FL0995,Economy,59,Other,2,N,Y
P0632,FL0785,Business,53,Other,4,Y,N
P0633,FL1945,Economy,18,Other,5,Y,N
P0634,FL0276,Economy,42,Male,1,N,N
P0635,FL2603,Economy,42,Other,2,N,N
P0636,FL2061,Business,35,Other,2,N,N
P0637,FL1252,Economy,62,Other,1,Y,N
P0638,FL1624,Economy,50,Female,5,Y,N
P0639,FL1415,First,35,Female,3,N,Y
P0640,FL1752,Economy,52,Male,5,N,N
P0641,FL1947,Economy,31,Female,5,Y,Y
P0642,FL2811,Economy,69,Other,3,Y,N
P0643,FL0506,Economy,47,Other,5,N,N
P0644,FL1582,Business,54,Other,4,Y,N
P0645,FL2829,Economy,37,Female,4,Y,N
P0646,FL0429,Economy,46,Other,2,N,N
P0647,FL0150,Business,64,Other,5,N,N
P0648,FL0717,Economy,31,Other,2,N,Y
P0649,FL0965,Economy,68,Male,2,Y,N
P0650,FL2702,Economy,19,Female,2,Y,N
P0651,FL2118,Business,21,Other,5,Y,Y
P0652,FL0497,Economy,25,Male,2,Y,Y
P0653,FL0009,Economy,62,Other,4,N,N
P0654,FL0470,Economy,19,Other,5,N,N
P0655,FL0499,Economy,23,Female,2,N,N
P0656,FL0381,Economy,64,Male,5,N,N
P0657,FL2662,Economy,23,Other,5,Y,N
P0658,FL1132,Economy,66,Other,2,Y,N
P0659,FL1674,Business,55,Female,1,Y,Y
P0660,FL0070,Economy,66,Female,2,Y,N
P0661,FL1143,First,65,Other,4,N,N
P0662,FL1358,Economy,62,Male,4,N,N
P0663,FL2738,Economy,35,Male,1,Y,N
P0664,FL1610,First,37,Male,1,Y,N
P0665,FL0007,Business,52,Female,1,N,N
P0666,FL2423,Economy,57,Female,1,Y,N
P0667,FL2301,Business,45,Female,5,Y,Y
P0668,FL0577,Economy,64,Other,5,N,Y
P0669,FL2486,Economy,18,Other,2,N,N
P0670,FL2131,Business,54,Male,4,N,N
P0671,FL0298,Economy,41,Other,4,Y,N
P0672,FL0318,Economy,42,Male,5,Y,Y
P0673,FL0357,Economy,62,Female,4,Y,N
P0674,FL1240,First,53,Male,5,N,N
P0675,FL0299,Business,41,Female,5,N,N
P0676,FL0483,Economy,47,Female,1,Y,N
P0677,FL1578,Economy,68,Male,1,Y,Y
P0678,FL2493,Business,43,Male,4,N,Y
P0679,FL0578,Economy,48,Female,5,Y,N
P0680,FL2897,Business,34,Other,3,N,N
P0681,FL0432,Business,40,Other,3,N,N
P0682,FL0186,Economy,67,Other,2,Y,N
P0683,FL0580,Economy,41,Female,1,Y,N
P0684,FL0204,Economy,43,Male,3,N,Y
P0685,FL0217,Economy,31,Male,3,N,N
P0686,FL2061,Economy,53,Other,3,N,Y
P0687,FL0365,Economy,59,Other,2,Y,N
P0688,FL2938,Economy,23,Male,4,Y,N
P0689,FL2222,First,68,Female,1,N,Y
P0690,FL1440,First,59,Other,1,Y,Y
P0691,FL1523,First,57,Male,4,Y,N
P0692,FL2691,Economy,29,Female,1,Y,N
P0693,FL0932,First,68,Female,1,Y,Y
P0694,FL0135,Economy,69,Female,5,N,N
P0695,FL0019,First,34,Other,1,N,N
P0696,FL1341,Economy,32,Other,2,N,N
P0697,FL2275,Economy,44,Female,2,N,Y
P0698,FL1935,Business,44,Other,1,Y,N
P0699,FL0829,Business,69,Other,1,Y,N
P0700,FL2972,Business,20,Female,3,Y,Y
P0701,FL2300,Economy,43,Male,2,Y,N
P0702,FL1216,Economy,68,Other,3,N,Y
P0703,FL0992,Economy,27,Female,5,Y,N
P0704,FL1119,First,45,Male,4,N,Y
P0705,FL2245,Economy,63,Female,3,Y,N
P0706,FL0725,Economy,32,Female,3,N,N
P0707,FL2213,Economy,39,Male,4,N,N
P0708,FL2887,Economy,41,Female,5,N,N
P0709,FL1492,First,28,Male,5,Y,N
P0710,FL0040,Economy,52,Female,3,Y,Y
P0711,FL2577,Economy,64,Male,5,Y,N
P0712,FL0409,First,24,Female,5,N,Y
P0713,FL2813,Economy,39,Female,4,N,Y
P0714,FL2879,Economy,58,Male,4,N,N
P0715,FL1291,Business,35,Other,1,Y,N
P0716,FL0339,Economy,29,Female,3,N,N
P0717,FL0244,Economy,44,Other,1,Y,N
P0718,FL1382,Economy,64,Male,3,N,N
P0719,FL2530,Economy,46,Female,1,N,Y
P0720,FL1815,Business,26,Female,5,Y,N
P0721,FL2902,Business,61,Female,1,Y,N
P0722,FL0270,Economy,43,Female,5,Y,N
P0723,FL2955,Economy,62,Other,1,Y,Y
P0724,FL0517,First,31,Female,1,N,Y
P0725,FL2224,Economy,57,Male,2,N,N
P0726,FL2526,Business,52,Female,3,Y,N
P0727,FL2810,Economy,27,Male,3,N,Y
P0728,FL0243,Economy,49,Other,5,Y,N
P0729,FL1630,Economy,70,Other,1,Y,N
P0730,FL2938,Economy,34,Male,2,N,N
P0731,FL2845,Economy,63,Male,2,N,N
P0732,FL2863,First,41,Male,1,Y,N
P0733,FL1878,Economy,28,Female,3,Y,Y
P0734,FL2593,Economy,18,Male,4,Y,N
P0735,FL1283,Economy,43,Male,3,Y,N
P0736,FL1044,Economy,21,Other,2,Y,Y
P0737,FL0907,Economy,24,Male,1,Y,N
P0738,FL2635,Business,44,Other,1,N,Y
P0739,FL2610,Business,52,Other,4,N,Y
P0740,FL0621,Business,25,Male,4,N,N
P0741,FL0558,Economy,18,Female,3,N,N
P0742,FL2305,Economy,52,Female,3,Y,Y
P0743,FL2431,Business,67,Female,3,Y,N
P0744,FL0946,First,33,Female,2,Y,N
P0745,FL0580,Economy,40,Other,2,Y,Y
P0746,FL1898,Business,62,Other,2,Y,N
P0747,FL0470,Economy,40,Male,2,Y,Y
P0748,FL1768,Business,28,Male,5,Y,Y
P0749,FL2149,Business,51,Other,4,Y,N
P0750,FL2317,Economy,24,Male,5,N,Y
P0751,FL1522,Economy,53,Male,5,N,N
P0752,FL1900,Economy,48,Male,1,N,N
P0753,FL0183,Business,66,Female,2,N,N
P0754,FL2865,Economy,31,Male,5,N,N
P0755,FL0634,Economy,55,Female,2,N,N
P0756,FL1274,Business,60,Male,5,Y,Y
P0757,FL1953,Economy,21,Male,5,Y,N
P0758,FL2199,Economy,32,Male,2,Y,Y
P0759,FL1137,Economy,35,Other,2,Y,N
P0760,FL2150,Business,22,Female,3,Y,N
P0761,FL2758,Economy,58,Other,1,Y,Y
P0762,FL0852,First,35,Other,2,Y,N
P0763,FL0535,Business,49,Female,2,Y,Y
P0764,FL2941,Economy,67,Male,5,Y,N
P0765,FL0193,Economy,43,Male,1,Y,N
P0766,FL2437,Economy,46,Female,4,N,N
P0767,FL2395,Economy,52,Male,2,Y,N
P0768,FL2670,Economy,56,Male,4,Y,N
P0769,FL1549,Business,20,Male,5,Y,Y
P0770,FL0120,Economy,65,Other,3,Y,N
P0771,FL1606,Economy,54,Male,2,Y,N
P0772,FL0058,Economy,41,Female,5,N,N
P0773,FL1711,Business,43,Female,1,N,Y
P0774,FL1614,First,23,Other,5,N,N
P0775,FL0248,Economy,36,Female,3,Y,N
P0776,FL1768,Economy,30,Other,3,Y,N
P0777,FL2325,Economy,18,Female,5,N,Y
P0778,FL0778,Economy,28,Female,2,N,N
P0779,FL0482,Economy,27,Female,2,N,N
P0780,FL1408,First,53,Other,3,N,N
P0781,FL0416,Economy,50,Other,1,N,N
P0782,FL2434,First,57,Male,5,N,Y
P0783,FL0984,Business,70,Other,1,N,Y
P0784,FL0824,Economy,69,Male,2,N,N
P0785,FL0765,Business,60,Male,3,Y,Y
P0786,FL1068,First,70,Male,2,Y,Y
P0787,FL1499,Business,51,Female,4,Y,N
P0788,FL2945,Economy,47,Other,4,N,N
P0789,FL1858,Economy,63,Other,3,N,N
P0790,FL1477,First,45,Female,5,N,N
P0791,FL1110,Economy,64,Other,5,N,N
P0792,FL0261,Economy,35,Male,1,Y,N
P0793,FL1516,Economy,62,Male,5,N,N
P0794,FL2533,First,37,Other,1,N,Y
P0795,FL1635,Economy,38,Female,5,N,N
P0796,FL1830,Economy,33,Male,4,N,Y
P0797,FL1508,Business,55,Male,3,Y,N
P0798,FL1172,Economy,60,Female,5,Y,Y
P0799,FL0645,First,70,Male,3,N,N
P0800,FL0875,Business,21,Female,5,N,Y
P0801,FL1876,Economy,61,Male,1,Y,N
P0802,FL2175,Business,28,Male,1,Y,N
P0803,FL2249,Economy,53,Female,3,Y,Y
P0804,FL2695,Economy,29,Female,5,N,Y
P0805,FL2787,Economy,61,Female,1,Y,N
P0806,FL2633,First,59,Other,1,N,N
P0807,FL0605,Economy,46,Female,4,Y,N
P0808,FL1640,Economy,44,Male,2,N,Y
P0809,FL1142,First,59,Male,3,Y,N
P0810,FL2200,Economy,41,Female,5,Y,Y
P0811,FL0623,Economy,61,Male,2,Y,N
P0812,FL1310,Economy,30,Male,4,Y,N
P0813,FL0929,First,62,Male,2,N,N
P0814,FL2571,Economy,49,Male,1,Y,Y
P0815,FL1549,Economy,40,Other,2,N,Y
P0816,FL2953,Economy,59,Male,5,N,N
P0817,FL1409,Economy,41,Other,3,Y,N
P0818,FL0608,Economy,58,Other,4,Y,N
P0819,FL0779,Business,56,Other,2,Y,Y
P0820,FL1941,Economy,68,Male,3,Y,Y
P0821,FL1734,Economy,50,Female,1,N,N
P0822,FL0201,Economy,47,Male,5,Y,N
P0823,FL2040,Business,25,Other,2,Y,N
P0824,FL0405,Economy,25,Male,4,Y,N
P0825,FL2268,Economy,53,Other,5,Y,N
P0826,FL2020,Economy,58,Female,3,N,N
P0827,FL1960,Economy,46,Female,2,Y,Y
P0828,FL0888,First,27,Male,2,Y,N
P0829,FL2489,Economy,27,Female,5,Y,N
P0830,FL2724,First,58,Male,2,N,N
P0831,FL1545,Economy,57,Female,2,N,N
P0832,FL1596,Economy,58,Other,4,Y,Y
P0833,FL2654,Economy,21,Female,4,N,Y
P0834,FL0968,Economy,60,Female,2,N,N
P0835,FL2676,Economy,27,Male,1,Y,N
P0836,FL0715,Economy,21,Other,3,N,Y
P0837,FL2950,Economy,41,Female,1,N,N
P0838,FL1951,Economy,38,Female,5,Y,N
P0839,FL2565,Economy,41,Male,4,N,Y
P0840,FL2320,Business,61,Female,3,N,Y
P0841,FL2333,First,23,Other,4,Y,N
P0842,FL1847,Economy,40,Male,1,N,N
P0843,FL0562,Economy,28,Female,2,Y,Y
P0844,FL2671,Economy,26,Other,1,Y,N
P0845,FL0827,Economy,66,Other,4,N,N
P0846,FL2321,Economy,43,Male,5,N,Y
P0847,FL0676,Economy,48,Male,1,Y,Y
P0848,FL2671,Economy,66,Male,4,N,N
P0849,FL2173,Economy,48,Other,5,N,N
P0850,FL2611,First,58,Other,5,N,Y
P0851,FL2469,Economy,67,Female,3,N,Y
P0852,FL2100,Economy,68,Other,3,Y,Y
P0853,FL0593,Economy,25,Other,1,N,N
P0854,FL1430,Economy,42,Female,3,N,N
P0855,FL1164,Economy,63,Male,1,Y,N
P0856,FL2299,Economy,37,Female,5,N,N
P0857,FL1220,Economy,55,Female,3,Y,N
P0858,FL0825,Economy,40,Female,1,N,N
P0859,FL0136,Economy,33,Female,3,Y,N
P0860,FL0155,Economy,42,Female,5,N,N
P0861,FL1903,Economy,25,Other,5,N,Y
P0862,FL2851,Economy,38,Male,1,N,N
P0863,FL2946,Economy,41,Female,1,Y,N
P0864,FL1896,Economy,31,Female,3,Y,N
P0865,FL1287,Economy,51,Other,5,N,N
P0866,FL1429,First,44,Other,4,Y,Y
P0867,FL1354,Business,36,Other,2,N,N
P0868,FL0299,Business,37,Other,1,N,N
P0869,FL2472,Economy,66,Other,2,N,Y
P0870,FL1847,Economy,54,Female,4,N,Y
P0871,FL2769,Business,62,Other,2,Y,Y
P0872,FL2431,Economy,44,Male,5,N,N
P0873,FL0896,First,60,Other,5,N,Y
P0874,FL0646,Economy,18,Other,4,Y,Y
P0875,FL0710,Economy,48,Male,4,N,N
P0876,FL2125,Economy,36,Other,4,N,N
P0877,FL2399,Economy,67,Male,1,Y,Y
P0878,FL1237,Economy,45,Female,4,Y,Y
P0879,FL2503,Economy,21,Male,2,N,Y
P0880,FL0471,Economy,47,Female,4,N,N
P0881,FL2437,Economy,39,Other,3,N,N
P0882,FL2275,First,69,Male,5,Y,N
P0883,FL1070,Business,53,Female,2,N,N
P0884,FL1625,Economy,23,Male,2,N,Y
P0885,FL0839,Economy,29,Male,4,Y,N
P0886,FL0556,Economy,33,Male,3,N,Y
P0887,FL1086,Economy,59,Male,1,N,Y
P0888,FL1847,Business,44,Other,4,Y,Y
P0889,FL2668,Economy,63,Male,5,N,N
P0890,FL2387,First,27,Other,1,N,N
P0891,FL1172,Economy,34,Male,1,N,Y
P0892,FL1305,Economy,32,Other,3,Y,Y
P0893,FL2291,Economy,35,Female,4,N,Y
P0894,FL1380,Business,66,Male,2,Y,Y
P0895,FL0628,Economy,32,Male,2,Y,Y
P0896,FL1644,Economy,24,Male,2,Y,Y
P0897,FL0899,Economy,44,Female,4,Y,N
P0898,FL0504,Economy,45,Female,3,Y,N
P0899,FL1749,Economy,48,Other,5,N,N
P0900,FL1292,Economy,65,Male,2,N,N
P0901,FL0863,Economy,29,Male,5,N,N
P0902,FL0699,Economy,31,Female,2,Y,Y
P0903,FL1213,Economy,69,Other,1,Y,N
P0904,FL0668,First,60,Male,3,Y,N
P0905,FL0240,Economy,64,Female,3,N,N
P0906,FL0417,Business,48,Other,4,N,N
P0907,FL1696,Economy,68,Other,2,N,Y
P0908,FL1474,Economy,32,Other,4,Y,N
P0909,FL1922,Economy,39,Other,1,Y,Y
P0910,FL2453,Economy,55,Other,3,N,N
P0911,FL2187,Economy,34,Other,2,Y,N
P0912,FL2570,Economy,54,Male,2,Y,Y
P0913,FL0353,First,25,Other,4,Y,Y
P0914,FL1420,First,53,Female,5,Y,N
P0915,FL0303,Economy,21,Female,3,Y,N
P0916,FL0924,Economy,40,Male,5,N,N
P0917,FL0730,Economy,65,Male,4,Y,Y
P0918,FL0583,First,42,Other,3,Y,Y
P0919,FL1862,Economy,19,Female,3,Y,Y
P0920,FL1539,Economy,61,Female,3,N,N
P0921,FL0788,First,65,Other,1,Y,Y
P0922,FL1188,Economy,46,Male,3,N,N
P0923,FL2377,First,18,Female,4,Y,N
P0924,FL0043,Business,57,Other,4,N,Y
P0925,FL1283,Economy,61,Female,4,N,N
P0926,FL0745,Economy,58,Other,2,Y,N
P0927,FL2449,Business,44,Male,3,Y,N
P0928,FL2040,Economy,68,Male,2,N,N
P0929,FL0072,Economy,43,Female,5,Y,Y
P0930,FL2477,Economy,59,Female,5,Y,Y
P0931,FL1171,Economy,38,Female,2,Y,Y
P0932,FL1302,Economy,60,Other,5,N,Y
P0933,FL1001,Economy,64,Male,4,Y,N
P0934,FL2961,Economy,66,Male,1,N,N
P0935,FL1374,Economy,57,Other,1,N,Y
P0936,FL0839,Business,32,Other,5,Y,Y
P0937,FL2351,Economy,32,Other,2,Y,N
P0938,FL0343,Economy,27,Male,2,Y,N
P0939,FL1213,Economy,25,Other,3,Y,N
P0940,FL2226,Economy,49,Female,3,Y,Y
P0941,FL2388,Economy,38,Female,5,Y,N
P0942,FL1252,Business,61,Male,1,N,Y
P0943,FL2059,First,49,Female,5,N,Y
P0944,FL1285,Economy,67,Other,4,N,Y
P0945,FL1636,Business,67,Other,1,N,N
P0946,FL0892,Economy,29,Male,5,Y,N
P0947,FL1787,Business,29,Male,2,Y,Y
P0948,FL2827,Economy,36,Male,5,N,N
P0949,FL0462,Economy,49,Other,5,Y,Y
P0950,FL2520,Economy,70,Female,5,N,N
P0951,FL2158,Economy,28,Other,2,Y,N
P0952,FL0082,Economy,45,Female,4,Y,N
P0953,FL0689,Business,21,Male,3,Y,N
P0954,FL2209,Economy,52,Female,2,Y,Y
P0955,FL2588,Economy,69,Male,3,Y,N
P0956,FL0963,Economy,18,Female,5,Y,N
P0957,FL2523,Economy,67,Other,5,Y,Y
P0958,FL1631,Economy,45,Male,4,N,N
P0959,FL0931,Economy,53,Male,5,N,N
P0960,FL0835,Economy,48,Female,1,N,N
P0961,FL2586,First,69,Female,2,N,N
P0962,FL1016,Economy,37,Male,1,Y,Y
P0963,FL2720,Economy,28,Male,2,Y,Y
P0964,FL2215,Business,64,Male,3,Y,N
P0965,FL2458,Business,22,Other,4,N,N
P0966,FL2869,Economy,48,Female,4,Y,N
P0967,FL1731,Business,64,Female,5,Y,Y
P0968,FL2205,Economy,59,Female,2,Y,N
P0969,FL1914,Economy,44,Male,4,Y,N
P0970,FL2431,Economy,52,Other,2,N,N
P0971,FL2038,Economy,61,Male,2,N,N
P0972,FL2851,First,43,Other,4,Y,N
P0973,FL1450,Economy,24,Male,3,N,Y
P0974,FL2527,Economy,54,Male,3,N,Y
P0975,FL1118,Economy,58,Other,1,N,N
P0976,FL0560,Economy,56,Male,4,N,N
P0977,FL0585,Business,44,Female,5,N,Y
P0978,FL1794,Economy,43,Female,1,Y,N
P0979,FL2439,Economy,61,Other,4,N,N
P0980,FL2809,Economy,54,Female,4,N,Y
P0981,FL2086,Economy,56,Other,3,Y,N
P0982,FL0994,Economy,47,Other,3,Y,N
P0983,FL2382,Economy,52,Male,4,N,N
P0984,FL2187,Economy,36,Female,1,Y,N
P0985,FL2109,Business,18,Female,2,Y,N
P0986,FL0129,Economy,26,Female,1,N,N
P0987,FL2265,Economy,21,Male,5,Y,Y
P0988,FL1035,Economy,24,Male,1,Y,N
P0989,FL0169,Economy,37,Other,5,Y,N
P0990,FL1941,Economy,65,Male,5,N,N
P0991,FL0969,Economy,46,Female,1,Y,Y
P0992,FL0189,Economy,64,Female,4,Y,N
P0993,FL2444,Economy,31,Male,3,N,Y
P0994,FL2286,Economy,54,Male,4,N,N
P0995,FL2333,Economy,66,Female,1,Y,N
P0996,FL0664,Economy,59,Male,1,Y,N
P0997,FL0836,Economy,62,Male,1,Y,Y
P0998,FL1211,Economy,34,Male,5,Y,N
P0999,FL1124,Economy,45,Other,4,N,Y
P1000,FL0159,Economy,68,Male,1,N,N
P1001,FL2504,Economy,48,Male,3,N,N
P1002,FL0755,First,29,Male,5,Y,N
P1003,FL0883,First,59,Other,3,N,N
P1004,FL1060,Economy,48,Female,3,N,N
P1005,FL1334,Economy,32,Other,4,N,Y
P1006,FL0950,Economy,38,Male,4,Y,N
P1007,FL1178,Economy,40,Male,1,Y,N
P1008,FL2441,Economy,65,Male,4,Y,N
P1009,FL0375,First,22,Other,4,Y,N
P1010,FL2622,Economy,47,Female,2,N,N
P1011,FL2196,Economy,64,Male,5,N,N
P1012,FL2918,Economy,53,Female,2,Y,N
P1013,FL1251,Economy,40,Male,3,Y,N
P1014,FL2058,Economy,41,Other,1,N,Y
P1015,FL1377,First,51,Other,1,N,N
P1016,FL0380,Economy,47,Female,3,N,Y
P1017,FL1500,Economy,40,Male,3,N,N
P1018,FL2998,Business,64,Female,1,N,Y
P1019,FL2379,Economy,69,Other,4,Y,Y
P1020,FL2471,Economy,39,Male,4,Y,Y
P1021,FL0512,Economy,44,Male,1,Y,Y
P1022,FL2640,Economy,56,Male,4,Y,N
P1023,FL2073,Economy,29,Other,1,N,N
P1024,FL1966,Economy,30,Male,3,N,Y
P1025,FL2803,Economy,29,Male,4,N,N
P1026,FL2708,Economy,38,Other,2,N,N
P1027,FL2097,Economy,50,Other,1,N,N
P1028,FL1960,Economy,35,Female,4,Y,N
P1029,FL1814,Business,28,Other,4,Y,N
P1030,FL0920,Economy,43,Male,5,N,N
P1031,FL2577,Business,34,Female,1,Y,N
P1032,FL0460,Economy,56,Other,3,N,Y
P1033,FL0070,Economy,32,Other,3,Y,Y
P1034,FL0349,Economy,44,Other,5,N,N
P1035,FL0698,Economy,42,Female,5,N,N
P1036,FL2745,Economy,47,Other,3,N,Y
P1037,FL1520,Business,49,Female,5,N,N
P1038,FL0518,First,65,Male,5,Y,Y
P1039,FL0293,Economy,55,Female,5,Y,N
P1040,FL1226,Economy,30,Other,5,N,N
P1041,FL1893,Economy,39,Other,5,N,N
P1042,FL1076,First,69,Male,3,Y,N
P1043,FL0655,Economy,43,Other,1,Y,Y
P1044,FL0892,Economy,31,Other,5,N,N
P1045,FL2197,Economy,23,Other,2,N,N
P1046,FL0327,Economy,39,Other,1,Y,N
P1047,FL2529,Economy,64,Other,2,Y,N
P1048,FL2364,Economy,38,Male,5,N,N
P1049,FL2397,Economy,70,Female,1,N,N
P1050,FL2206,Business,66,Other,4,Y,N
P1051,FL2740,Economy,26,Other,4,Y,N
P1052,FL0498,Economy,33,Other,1,Y,Y
P1053,FL2182,Economy,54,Female,3,Y,N
P1054,FL1291,Economy,33,Other,4,Y,N
P1055,FL2827,Economy,70,Other,1,Y,Y
P1056,FL1343,Economy,26,Female,2,N,Y
P1057,FL0286,First,62,Other,4,Y,N
P1058,FL1647,Economy,46,Male,2,N,N
P1059,FL2456,Economy,33,Male,3,Y,N
P1060,FL0248,Business,58,Female,5,N,N
P1061,FL1763,Economy,58,Female,4,Y,Y
P1062,FL1370,Business,70,Female,2,N,N
P1063,FL1463,Economy,25,Male,4,N,Y
P1064,FL2781,Economy,60,Male,5,Y,N
P1065,FL0745,Economy,28,Other,5,N,N
P1066,FL2664,Economy,18,Female,2,N,Y
P1067,FL0337,Economy,34,Female,1,N,Y
P1068,FL0430,Economy,62,Female,3,Y,N
P1069,FL2601,First,44,Female,1,N,N
P1070,FL0154,Economy,53,Other,1,Y,N
P1071,FL0877,Economy,27,Female,4,Y,N
P1072,FL2086,Business,34,Other,3,N,N
P1073,FL2167,Business,32,Other,3,Y,N
P1074,FL2357,Economy,69,Male,4,N,N
P1075,FL2848,Business,60,Other,1,Y,Y
P1076,FL2198,Business,35,Other,5,N,N
P1077,FL1311,Business,40,Male,2,N,N
P1078,FL1859,Economy,49,Male,4,N,N
P1079,FL0088,Economy,45,Other,5,Y,N
P1080,FL1572,Business,70,Female,1,Y,N
P1081,FL0854,Economy,66,Other,1,N,Y
P1082,FL1925,Economy,65,Female,5,Y,N
P1083,FL0879,Economy,66,Female,4,Y,N
P1084,FL0387,Economy,18,Other,1,Y,N
P1085,FL1430,Economy,70,Other,4,Y,Y
P1086,FL0524,Economy,40,Female,2,Y,N
P1087,FL0278,Economy,28,Male,1,Y,N
P1088,FL1459,Economy,26,Male,3,N,Y
P1089,FL0232,Business,49,Other,5,N,Y
P1090,FL0882,Economy,41,Male,5,Y,Y
P1091,FL1978,Business,37,Male,2,Y,N
P1092,FL2229,First,19,Other,5,N,Y
P1093,FL1597,First,54,Female,2,Y,Y
P1094,FL0321,First,37,Male,2,N,Y
P1095,FL2843,Economy,31,Male,4,Y,Y
P1096,FL2548,Economy,30,Female,4,N,Y
P1097,FL1563,Economy,48,Male,2,N,N
P1098,FL2674,Economy,27,Male,1,N,N
P1099,FL0969,Economy,69,Female,2,Y,N
P1100,FL0806,Economy,52,Other,1,Y,N
P1101,FL1949,Economy,19,Male,1,N,Y
P1102,FL1367,First,54,Male,1,N,Y
P1103,FL1891,Economy,66,Male,4,Y,Y
P1104,FL0448,Economy,70,Female,5,Y,N
P1105,FL1936,Business,59,Female,4,Y,Y
P1106,FL0103,Business,34,Female,3,N,N
P1107,FL2032,Economy,28,Other,1,N,N
P1108,FL1863,Economy,33,Female,1,Y,N
P1109,FL1236,Economy,68,Male,2,N,Y
P1110,FL2654,Economy,27,Female,2,Y,N
P1111,FL1106,Business,27,Other,1,N,N
P1112,FL1828,Business,48,Male,4,Y,Y
P1113,FL0749,Economy,58,Female,3,Y,Y
P1114,FL0535,Economy,23,Other,4,N,N
P1115,FL0099,First,61,Male,3,N,N
P1116,FL1471,Economy,40,Male,4,Y,Y
P1117,FL0436,Economy,25,Female,5,Y,Y
P1118,FL1761,Economy,43,Other,3,N,Y
P1119,FL2278,Economy,50,Other,4,Y,Y
P1120,FL1554,First,18,Other,5,N,N
P1121,FL1061,Economy,65,Male,4,Y,N
P1122,FL0449,Economy,49,Female,5,Y,Y
P1123,FL1232,Economy,43,Other,5,Y,N
P1124,FL2992,Economy,30,Female,2,N,N
P1125,FL2089,Economy,46,Male,5,Y,Y
P1126,FL2352,First,44,Female,3,N,Y
P1127,FL2927,Business,28,Male,2,Y,N
P1128,FL2014,Economy,65,Male,1,N,N
P1129,FL0007,Business,66,Male,1,Y,Y
P1130,FL2247,Economy,33,Female,4,N,Y
P1131,FL0456,Economy,18,Other,5,Y,Y
P1132,FL0488,Economy,18,Male,5,Y,N
P1133,FL2572,Economy,33,Male,4,Y,N
P1134,FL2384,Economy,67,Other,4,Y,N
P1135,FL2220,Business,39,Female,5,Y,N
P1136,FL2244,Economy,34,Female,2,Y,Y
P1137,FL2445,Business,55,Other,3,Y,Y
P1138,FL0487,Business,64,Male,4,Y,N
