Flight ID,Airline,Source,Destination,Departure Time,Arrival Time,Status,Delay (min),Aircraft Type,Date
FL0788,CloudNine,ATL,BOS,2024-12-06 10:41:15,2024-12-06 12:56:15,Delayed,15,Embraer 190,2024-12-06
FL0789,JetZoom,DEN,SFO,2025-04-26 14:59:21,2025-04-26 16:59:21,On-time,0,Boeing 737,2025-04-26
FL0790,GlobalWings,SEA,ATL,2025-05-21 10:51:35,2025-05-21 13:06:35,Delayed,15,Airbus A350,2025-05-21
FL0791,AeroFly,ATL,JFK,2025-05-06 14:12:47,2025-05-06 16:12:47,On-time,0,Boeing 737,2025-05-06
FL0792,SkyHigh,BOS,SEA,2025-02-13 18:37:06,2025-02-13 20:37:06,On-time,0,Boeing 737,2025-02-13
FL0793,GlobalWings,LAX,BOS,2025-02-17 22:58:49,2025-02-18 01:58:49,Delayed,60,Airbus A320,2025-02-17
FL0794,CloudNine,DFW,BOS,2025-01-12 11:04:51,2025-01-12 13:04:51,On-time,0,Boeing 737,2025-01-12
FL0795,JetZoom,JFK,DFW,2025-05-16 03:47:24,2025-05-16 05:47:24,On-time,0,Boeing 777,2025-05-16
FL0796,CloudNine,LAX,BOS,2025-05-21 03:45:19,2025-05-21 06:15:19,Delayed,30,Boeing 737,2025-05-21
FL0797,SkyHigh,ORD,BOS,2025-04-01 07:53:55,2025-04-01 09:53:55,On-time,0,Airbus A350,2025-04-01
FL0798,GlobalWings,DFW,LAX,2025-03-28 05:15:50,2025-03-28 07:15:50,On-time,0,Boeing 777,2025-03-28
FL0799,JetZoom,LAX,SFO,2024-12-24 09:31:01,2024-12-24 11:31:01,On-time,0,Airbus A350,2024-12-24
FL0800,AeroFly,SFO,SEA,2025-02-15 21:21:20,2025-02-15 23:36:20,Delayed,15,Airbus A320,2025-02-15
FL0801,SkyHigh,ORD,JFK,2025-02-26 13:59:32,2025-02-26 17:59:32,Cancelled,120,Airbus A320,2025-02-26
FL0802,SkyHigh,SFO,SEA,2025-01-24 13:34:06,2025-01-24 16:04:06,Delayed,30,Airbus A350,2025-01-24
FL0803,JetZoom,BOS,SFO,2025-02-27 21:34:17,2025-02-27 23:49:17,Delayed,15,Embraer 190,2025-02-27
FL0804,SkyHigh,ORD,SEA,2025-05-09 08:24:15,2025-05-09 11:24:15,Delayed,60,Boeing 737,2025-05-09
FL0805,CloudNine,SEA,JFK,2025-01-28 17:11:30,2025-01-28 19:11:30,On-time,0,Boeing 777,2025-01-28
FL0806,SkyHigh,MIA,ATL,2025-04-29 17:58:00,2025-04-29 21:28:00,Cancelled,90,Boeing 777,2025-04-29
FL0807,GlobalWings,MIA,LAX,2025-02-01 03:18:08,2025-02-01 05:18:08,On-time,0,Airbus A320,2025-02-01
FL0808,CloudNine,DEN,SFO,2024-12-08 22:13:59,2024-12-09 00:13:59,On-time,0,Embraer 190,2024-12-08
FL0809,GlobalWings,JFK,BOS,2025-04-16 10:07:13,2025-04-16 12:22:13,Delayed,15,Airbus A320,2025-04-16
FL0810,GlobalWings,SEA,BOS,2025-02-18 10:00:29,2025-02-18 12:30:29,Delayed,30,Boeing 737,2025-02-18
FL0811,CloudNine,DEN,ATL,2025-02-16 06:46:46,2025-02-16 08:46:46,On-time,0,Boeing 777,2025-02-16
FL0812,SkyHigh,MIA,ATL,2025-05-23 07:46:39,2025-05-23 09:46:39,On-time,0,Airbus A350,2025-05-23
FL0813,CloudNine,ATL,LAX,2024-12-02 03:41:33,2024-12-02 05:41:33,On-time,0,Embraer 190,2024-12-02
FL0814,CloudNine,LAX,SEA,2025-02-10 04:25:21,2025-02-10 06:25:21,On-time,0,Boeing 737,2025-02-10
FL0815,CloudNine,JFK,LAX,2025-02-26 17:08:12,2025-02-26 19:08:12,On-time,0,Boeing 737,2025-02-26
FL0816,GlobalWings,MIA,JFK,2025-03-15 07:57:36,2025-03-15 10:27:36,Delayed,30,Embraer 190,2025-03-15
FL0817,GlobalWings,DFW,MIA,2025-03-21 20:07:32,2025-03-21 22:07:32,On-time,0,Airbus A350,2025-03-21
FL0818,AeroFly,DEN,JFK,2025-05-18 05:44:54,2025-05-18 08:14:54,Delayed,30,Airbus A350,2025-05-18
FL0819,AeroFly,MIA,SEA,2025-01-09 04:56:58,2025-01-09 07:11:58,Delayed,15,Boeing 777,2025-01-09
FL0820,CloudNine,LAX,BOS,2025-03-11 00:44:50,2025-03-11 02:59:50,Delayed,15,Airbus A320,2025-03-11
FL0821,SkyHigh,DEN,BOS,2025-01-18 13:47:24,2025-01-18 16:17:24,Delayed,30,Boeing 777,2025-01-18
FL0822,GlobalWings,MIA,DEN,2025-04-23 22:13:56,2025-04-24 00:28:56,Delayed,15,Boeing 737,2025-04-23
FL0823,JetZoom,SEA,ORD,2024-12-14 20:15:53,2024-12-14 22:45:53,Delayed,30,Airbus A350,2024-12-14
FL0824,SkyHigh,DFW,ATL,2025-05-03 20:21:33,2025-05-03 22:21:33,On-time,0,Airbus A350,2025-05-03
FL0825,JetZoom,SEA,ATL,2025-03-17 20:21:02,2025-03-17 22:36:02,Delayed,15,Boeing 737,2025-03-17
FL0826,CloudNine,JFK,LAX,2025-05-21 00:50:31,2025-05-21 03:05:31,Delayed,15,Airbus A350,2025-05-21
FL0827,CloudNine,BOS,MIA,2024-11-29 18:13:43,2024-11-29 20:13:43,On-time,0,Airbus A350,2024-11-29
FL0828,SkyHigh,MIA,JFK,2025-03-18 00:01:00,2025-03-18 02:01:00,On-time,0,Airbus A350,2025-03-18
FL0829,GlobalWings,SEA,MIA,2025-05-08 14:23:05,2025-05-08 16:38:05,Delayed,15,Airbus A320,2025-05-08
FL0830,GlobalWings,ORD,BOS,2024-12-22 17:09:02,2024-12-22 19:09:02,On-time,0,Embraer 190,2024-12-22
FL0831,GlobalWings,DEN,MIA,2025-01-11 22:13:02,2025-01-12 00:43:02,Delayed,30,Airbus A350,2025-01-11
FL0832,GlobalWings,ATL,DFW,2025-05-07 15:31:13,2025-05-07 17:31:13,On-time,0,Boeing 777,2025-05-07
FL0833,AeroFly,SEA,ORD,2025-01-12 00:13:08,2025-01-12 02:13:08,On-time,0,Embraer 190,2025-01-12
FL0834,GlobalWings,DFW,MIA,2025-02-19 16:42:24,2025-02-19 19:12:24,Delayed,30,Embraer 190,2025-02-19
FL0835,JetZoom,ATL,BOS,2025-04-23 09:50:16,2025-04-23 12:05:16,Delayed,15,Boeing 777,2025-04-23
FL0836,AeroFly,ORD,BOS,2025-03-13 23:48:33,2025-03-14 01:48:33,On-time,0,Boeing 777,2025-03-13
FL0837,SkyHigh,DEN,MIA,2025-03-09 21:13:18,2025-03-09 23:13:18,On-time,0,Embraer 190,2025-03-09
FL0838,CloudNine,MIA,DFW,2025-01-17 19:46:34,2025-01-17 22:16:34,Delayed,30,Airbus A350,2025-01-17
FL0839,SkyHigh,MIA,LAX,2025-03-01 03:40:09,2025-03-01 05:40:09,On-time,0,Airbus A320,2025-03-01
FL0840,SkyHigh,JFK,ATL,2025-04-13 03:32:11,2025-04-13 05:32:11,On-time,0,Airbus A320,2025-04-13
FL0841,AeroFly,DFW,ORD,2024-12-28 23:02:48,2024-12-29 01:32:48,Delayed,30,Boeing 777,2024-12-28
FL0842,JetZoom,MIA,JFK,2025-05-18 07:24:09,2025-05-18 09:24:09,On-time,0,Airbus A350,2025-05-18
FL0843,SkyHigh,BOS,MIA,2025-05-21 22:54:20,2025-05-22 01:24:20,Delayed,30,Embraer 190,2025-05-21
FL0844,CloudNine,ATL,MIA,2025-02-07 06:23:59,2025-02-07 08:38:59,Delayed,15,Boeing 777,2025-02-07
FL0845,SkyHigh,SFO,BOS,2025-04-24 22:11:09,2025-04-25 00:11:09,On-time,0,Boeing 777,2025-04-24
FL0846,GlobalWings,JFK,BOS,2025-03-23 08:26:56,2025-03-23 10:41:56,Delayed,15,Airbus A320,2025-03-23
FL0847,GlobalWings,SEA,ATL,2025-02-08 07:47:37,2025-02-08 10:47:37,Delayed,60,Boeing 777,2025-02-08
FL0848,GlobalWings,MIA,ATL,2024-12-03 09:30:51,2024-12-03 11:45:51,Delayed,15,Airbus A320,2024-12-03
FL0849,AeroFly,SEA,ORD,2025-05-21 18:35:11,2025-05-21 22:35:11,Cancelled,120,Boeing 737,2025-05-21
FL0850,JetZoom,ORD,MIA,2025-01-08 23:02:22,2025-01-09 01:02:22,On-time,0,Boeing 737,2025-01-08
FL0851,CloudNine,DFW,MIA,2025-05-03 18:54:31,2025-05-03 20:54:31,On-time,0,Airbus A320,2025-05-03
FL0852,GlobalWings,DFW,JFK,2024-12-29 19:06:09,2024-12-29 21:06:09,On-time,0,Airbus A320,2024-12-29
FL0853,SkyHigh,ORD,DEN,2025-05-14 13:52:05,2025-05-14 15:52:05,On-time,0,Embraer 190,2025-05-14
FL0854,AeroFly,SEA,MIA,2025-05-11 12:29:35,2025-05-11 14:29:35,On-time,0,Boeing 777,2025-05-11
FL0855,GlobalWings,ATL,ORD,2025-01-10 23:58:48,2025-01-11 01:58:48,On-time,0,Embraer 190,2025-01-10
FL0856,JetZoom,SFO,MIA,2025-02-28 14:10:04,2025-02-28 16:10:04,On-time,0,Boeing 737,2025-02-28
FL0857,AeroFly,ATL,BOS,2025-02-11 02:51:45,2025-02-11 05:06:45,Delayed,15,Boeing 777,2025-02-11
FL0858,AeroFly,DFW,ATL,2025-04-16 18:41:40,2025-04-16 22:11:40,Cancelled,90,Embraer 190,2025-04-16
FL0859,GlobalWings,SEA,MIA,2025-01-24 09:24:14,2025-01-24 11:54:14,Delayed,30,Boeing 737,2025-01-24
FL0860,SkyHigh,DEN,SEA,2024-12-14 09:35:43,2024-12-14 11:35:43,On-time,0,Embraer 190,2024-12-14
FL0861,GlobalWings,ATL,JFK,2025-02-01 20:37:03,2025-02-01 22:52:03,Delayed,15,Boeing 777,2025-02-01
FL0862,CloudNine,LAX,SFO,2025-05-02 05:51:31,2025-05-02 07:51:31,On-time,0,Boeing 777,2025-05-02
FL0863,SkyHigh,MIA,DEN,2025-03-02 14:02:18,2025-03-02 16:02:18,On-time,0,Embraer 190,2025-03-02
FL0864,CloudNine,SEA,JFK,2025-03-19 21:33:42,2025-03-19 23:33:42,On-time,0,Airbus A320,2025-03-19
FL0865,AeroFly,MIA,LAX,2025-05-20 17:53:12,2025-05-20 20:53:12,Delayed,60,Airbus A320,2025-05-20
FL0866,GlobalWings,MIA,JFK,2025-02-02 09:58:34,2025-02-02 12:13:34,Delayed,15,Airbus A320,2025-02-02
FL0867,JetZoom,SFO,LAX,2025-04-25 08:21:22,2025-04-25 10:21:22,On-time,0,Airbus A350,2025-04-25
FL0868,SkyHigh,ORD,JFK,2024-12-28 02:34:06,2024-12-28 04:34:06,On-time,0,Boeing 777,2024-12-28
FL0869,SkyHigh,LAX,BOS,2025-01-05 15:19:17,2025-01-05 17:19:17,On-time,0,Boeing 777,2025-01-05
FL0870,GlobalWings,LAX,ATL,2025-02-13 05:29:27,2025-02-13 08:29:27,Delayed,60,Airbus A350,2025-02-13
FL0871,CloudNine,SEA,SFO,2025-01-01 07:58:43,2025-01-01 09:58:43,On-time,0,Boeing 737,2025-01-01
FL0872,CloudNine,LAX,MIA,2025-01-31 17:10:59,2025-01-31 19:10:59,On-time,0,Embraer 190,2025-01-31
FL0873,SkyHigh,BOS,JFK,2025-04-21 02:58:33,2025-04-21 05:13:33,Delayed,15,Boeing 737,2025-04-21
FL0874,AeroFly,MIA,LAX,2025-03-05 01:21:38,2025-03-05 03:21:38,On-time,0,Boeing 777,2025-03-05
FL0875,GlobalWings,LAX,DFW,2025-03-20 00:18:37,2025-03-20 02:33:37,Delayed,15,Airbus A350,2025-03-20
FL0876,CloudNine,SFO,JFK,2025-05-02 12:36:02,2025-05-02 14:36:02,On-time,0,Embraer 190,2025-05-02
FL0877,JetZoom,ORD,SFO,2025-01-03 05:38:37,2025-01-03 07:53:37,Delayed,15,Embraer 190,2025-01-03
FL0878,AeroFly,ORD,DFW,2025-01-02 21:40:12,2025-01-02 23:55:12,Delayed,15,Boeing 777,2025-01-02
FL0879,SkyHigh,MIA,BOS,2025-03-20 02:20:16,2025-03-20 04:20:16,On-time,0,Boeing 737,2025-03-20
FL0880,SkyHigh,BOS,SFO,2025-02-22 09:46:53,2025-02-22 11:46:53,On-time,0,Boeing 737,2025-02-22
FL0881,AeroFly,ATL,DEN,2025-02-18 00:38:46,2025-02-18 02:38:46,On-time,0,Embraer 190,2025-02-18
FL0882,JetZoom,ORD,BOS,2025-03-25 17:59:28,2025-03-25 19:59:28,On-time,0,Boeing 777,2025-03-25
FL0883,JetZoom,LAX,ORD,2025-02-23 22:12:11,2025-02-24 00:27:11,Delayed,15,Embraer 190,2025-02-23
FL0884,SkyHigh,MIA,SEA,2025-03-10 04:07:52,2025-03-10 06:22:52,Delayed,15,Boeing 737,2025-03-10
FL0885,AeroFly,LAX,DFW,2024-12-28 10:52:38,2024-12-28 12:52:38,On-time,0,Embraer 190,2024-12-28
FL0886,CloudNine,DEN,BOS,2025-05-02 14:14:16,2025-05-02 16:14:16,On-time,0,Airbus A320,2025-05-02
FL0887,SkyHigh,DFW,LAX,2025-02-07 15:28:59,2025-02-07 18:28:59,Delayed,60,Boeing 777,2025-02-07
FL0888,CloudNine,SEA,DEN,2025-05-07 02:21:10,2025-05-07 04:36:10,Delayed,15,Boeing 777,2025-05-07
FL0889,GlobalWings,ORD,DEN,2024-12-18 12:09:36,2024-12-18 14:39:36,Delayed,30,Airbus A350,2024-12-18
FL0890,JetZoom,JFK,DEN,2025-04-16 05:25:10,2025-04-16 07:25:10,On-time,0,Airbus A320,2025-04-16
FL0891,CloudNine,DFW,DEN,2024-12-08 08:22:07,2024-12-08 10:22:07,On-time,0,Boeing 777,2024-12-08
FL0892,CloudNine,SEA,BOS,2025-03-03 22:47:59,2025-03-04 00:47:59,On-time,0,Boeing 777,2025-03-03
FL0893,CloudNine,MIA,LAX,2024-11-29 14:03:42,2024-11-29 16:03:42,On-time,0,Embraer 190,2024-11-29
FL0894,SkyHigh,DFW,ORD,2025-01-01 23:01:46,2025-01-02 01:31:46,Delayed,30,Airbus A320,2025-01-01
FL0895,AeroFly,LAX,BOS,2025-04-21 06:03:29,2025-04-21 08:33:29,Delayed,30,Embraer 190,2025-04-21
FL0896,SkyHigh,BOS,SFO,2024-11-27 15:07:16,2024-11-27 17:22:16,Delayed,15,Airbus A320,2024-11-27
FL0897,SkyHigh,MIA,DFW,2025-04-28 22:07:27,2025-04-29 00:07:27,On-time,0,Embraer 190,2025-04-28
FL0898,CloudNine,ORD,DEN,2025-04-16 15:12:01,2025-04-16 17:12:01,On-time,0,Embraer 190,2025-04-16
FL0899,AeroFly,ORD,SEA,2025-03-02 19:06:29,2025-03-02 21:06:29,On-time,0,Boeing 737,2025-03-02
FL0900,CloudNine,DEN,MIA,2025-04-26 01:46:58,2025-04-26 03:46:58,On-time,0,Airbus A320,2025-04-26
FL0901,GlobalWings,ORD,MIA,2025-02-26 06:31:04,2025-02-26 08:31:04,On-time,0,Airbus A320,2025-02-26
FL0902,JetZoom,BOS,ORD,2025-05-13 01:10:31,2025-05-13 03:25:31,Delayed,15,Airbus A350,2025-05-13
FL0903,AeroFly,JFK,ATL,2025-02-24 14:42:19,2025-02-24 16:57:19,Delayed,15,Airbus A320,2025-02-24
FL0904,SkyHigh,DFW,DEN,2024-12-17 01:33:11,2024-12-17 03:33:11,On-time,0,Airbus A320,2024-12-17
FL0905,GlobalWings,DEN,SFO,2025-04-13 00:04:30,2025-04-13 02:04:30,On-time,0,Airbus A350,2025-04-13
FL0906,SkyHigh,JFK,DEN,2024-12-13 13:14:08,2024-12-13 15:14:08,On-time,0,Embraer 190,2024-12-13
FL0907,AeroFly,DFW,MIA,2025-03-27 15:14:13,2025-03-27 17:14:13,On-time,0,Airbus A350,2025-03-27
FL0908,CloudNine,DEN,LAX,2025-05-22 04:59:49,2025-05-22 06:59:49,On-time,0,Airbus A350,2025-05-22
FL0909,JetZoom,MIA,SFO,2024-12-24 10:01:24,2024-12-24 12:01:24,On-time,0,Boeing 777,2024-12-24
FL0910,CloudNine,SEA,JFK,2025-01-12 21:37:27,2025-01-12 23:37:27,On-time,0,Airbus A320,2025-01-12
FL0911,CloudNine,ORD,ATL,2024-12-18 20:55:48,2024-12-18 22:55:48,On-time,0,Boeing 777,2024-12-18
FL0912,JetZoom,ORD,BOS,2025-03-13 05:16:23,2025-03-13 07:16:23,On-time,0,Embraer 190,2025-03-13
FL0913,SkyHigh,ATL,SFO,2025-01-29 10:51:17,2025-01-29 13:21:17,Delayed,30,Boeing 737,2025-01-29
FL0914,CloudNine,SEA,BOS,2025-01-08 04:40:02,2025-01-08 06:40:02,On-time,0,Airbus A320,2025-01-08
FL0915,CloudNine,JFK,ATL,2024-12-30 17:53:35,2024-12-30 19:53:35,On-time,0,Embraer 190,2024-12-30
FL0916,GlobalWings,ORD,BOS,2025-04-09 17:55:16,2025-04-09 20:10:16,Delayed,15,Boeing 737,2025-04-09
FL0917,GlobalWings,ORD,JFK,2025-02-15 10:23:34,2025-02-15 12:23:34,On-time,0,Airbus A320,2025-02-15
FL0918,GlobalWings,SFO,JFK,2025-01-26 16:36:24,2025-01-26 19:06:24,Delayed,30,Boeing 777,2025-01-26
FL0919,SkyHigh,ATL,SEA,2025-03-04 04:38:32,2025-03-04 06:53:32,Delayed,15,Airbus A350,2025-03-04
FL0920,CloudNine,ORD,ATL,2025-01-15 17:21:59,2025-01-15 19:51:59,Delayed,30,Embraer 190,2025-01-15
FL0921,JetZoom,BOS,ORD,2025-03-02 21:18:29,2025-03-02 23:33:29,Delayed,15,Embraer 190,2025-03-02
FL0922,AeroFly,ORD,DEN,2025-02-18 13:19:01,2025-02-18 16:19:01,Delayed,60,Embraer 190,2025-02-18
FL0923,GlobalWings,LAX,ATL,2025-05-16 22:31:24,2025-05-17 00:31:24,On-time,0,Airbus A320,2025-05-16
FL0924,SkyHigh,JFK,ATL,2025-01-15 15:37:36,2025-01-15 17:37:36,On-time,0,Embraer 190,2025-01-15
FL0925,CloudNine,ORD,LAX,2025-01-05 23:58:32,2025-01-06 01:58:32,On-time,0,Embraer 190,2025-01-05
FL0926,GlobalWings,JFK,MIA,2025-02-24 04:30:36,2025-02-24 06:30:36,On-time,0,Boeing 737,2025-02-24
FL0927,SkyHigh,SEA,ORD,2025-02-14 17:59:48,2025-02-14 20:59:48,Delayed,60,Embraer 190,2025-02-14
FL0928,SkyHigh,SFO,MIA,2025-01-16 22:31:53,2025-01-17 00:31:53,On-time,0,Boeing 737,2025-01-16
FL0929,GlobalWings,SFO,ATL,2025-04-29 18:14:44,2025-04-29 21:14:44,Delayed,60,Airbus A350,2025-04-29
FL0930,CloudNine,DEN,LAX,2025-04-10 14:03:59,2025-04-10 16:03:59,On-time,0,Boeing 777,2025-04-10
FL0931,CloudNine,ATL,LAX,2025-03-06 22:21:23,2025-03-07 00:21:23,On-time,0,Embraer 190,2025-03-06
FL0932,CloudNine,DFW,ATL,2025-04-04 08:44:35,2025-04-04 10:44:35,On-time,0,Boeing 737,2025-04-04
FL0933,GlobalWings,MIA,LAX,2025-03-30 21:30:16,2025-03-30 23:30:16,On-time,0,Airbus A350,2025-03-30
FL0934,JetZoom,DEN,SFO,2025-05-21 00:37:12,2025-05-21 02:37:12,On-time,0,Airbus A320,2025-05-21
FL0935,CloudNine,BOS,DFW,2024-12-07 03:30:30,2024-12-07 05:30:30,On-time,0,Embraer 190,2024-12-07
FL0936,CloudNine,BOS,DEN,2025-01-14 10:28:39,2025-01-14 12:43:39,Delayed,15,Airbus A350,2025-01-14
FL0937,JetZoom,SFO,MIA,2024-12-23 07:02:59,2024-12-23 09:17:59,Delayed,15,Airbus A350,2024-12-23
FL0938,JetZoom,DEN,MIA,2025-03-05 05:37:18,2025-03-05 07:37:18,On-time,0,Boeing 777,2025-03-05
FL0939,AeroFly,BOS,DEN,2024-12-26 23:47:50,2024-12-27 02:02:50,Delayed,15,Airbus A350,2024-12-26
FL0940,JetZoom,LAX,ATL,2025-02-04 18:40:13,2025-02-04 20:40:13,On-time,0,Airbus A320,2025-02-04
FL0941,SkyHigh,ATL,MIA,2024-12-04 16:30:31,2024-12-04 18:30:31,On-time,0,Boeing 777,2024-12-04
FL0942,GlobalWings,BOS,JFK,2025-03-06 09:32:24,2025-03-06 11:32:24,On-time,0,Boeing 737,2025-03-06
FL0943,SkyHigh,ORD,SEA,2025-01-06 07:47:19,2025-01-06 10:47:19,Delayed,60,Airbus A350,2025-01-06
FL0944,SkyHigh,LAX,DFW,2024-12-23 23:08:19,2024-12-24 01:08:19,On-time,0,Boeing 737,2024-12-23
FL0945,GlobalWings,JFK,SFO,2024-12-07 09:51:24,2024-12-07 12:51:24,Delayed,60,Airbus A350,2024-12-07
FL0946,GlobalWings,MIA,DFW,2025-02-13 17:02:29,2025-02-13 19:17:29,Delayed,15,Embraer 190,2025-02-13
FL0947,SkyHigh,ORD,SEA,2025-05-19 15:15:44,2025-05-19 17:15:44,On-time,0,Airbus A320,2025-05-19
FL0948,GlobalWings,DFW,ATL,2024-11-29 05:31:56,2024-11-29 07:31:56,On-time,0,Embraer 190,2024-11-29
FL0949,GlobalWings,MIA,ATL,2025-02-18 14:39:39,2025-02-18 16:54:39,Delayed,15,Boeing 737,2025-02-18
FL0950,AeroFly,ATL,JFK,2025-01-03 06:26:54,2025-01-03 09:56:54,Cancelled,90,Boeing 737,2025-01-03
FL0951,AeroFly,SFO,DEN,2024-12-02 15:16:57,2024-12-02 17:31:57,Delayed,15,Airbus A350,2024-12-02
FL0952,GlobalWings,ATL,MIA,2025-02-11 07:22:35,2025-02-11 09:22:35,On-time,0,Boeing 737,2025-02-11
FL0953,SkyHigh,MIA,DFW,2025-01-30 04:49:29,2025-01-30 07:04:29,Delayed,15,Embraer 190,2025-01-30
FL0954,GlobalWings,DEN,BOS,2025-05-16 22:53:12,2025-05-17 02:23:12,Cancelled,90,Boeing 777,2025-05-16
FL0955,JetZoom,BOS,ATL,2025-02-04 10:49:27,2025-02-04 12:49:27,On-time,0,Airbus A350,2025-02-04
FL0956,GlobalWings,JFK,DFW,2025-04-10 09:37:13,2025-04-10 11:37:13,On-time,0,Embraer 190,2025-04-10
FL0957,SkyHigh,MIA,LAX,2025-02-14 03:12:41,2025-02-14 05:12:41,On-time,0,Boeing 777,2025-02-14
FL0958,SkyHigh,MIA,DFW,2024-12-28 15:01:07,2024-12-28 17:31:07,Delayed,30,Embraer 190,2024-12-28
FL0959,AeroFly,SEA,SFO,2025-03-15 18:55:25,2025-03-15 20:55:25,On-time,0,Airbus A320,2025-03-15
FL0960,AeroFly,SEA,BOS,2025-01-03 05:15:38,2025-01-03 07:45:38,Delayed,30,Boeing 737,2025-01-03
FL0961,CloudNine,LAX,DFW,2025-05-13 13:20:03,2025-05-13 15:20:03,On-time,0,Airbus A320,2025-05-13
FL0962,JetZoom,DEN,SFO,2025-02-04 23:19:01,2025-02-05 02:49:01,Cancelled,90,Embraer 190,2025-02-04
FL0963,GlobalWings,JFK,DFW,2024-12-04 13:05:35,2024-12-04 15:05:35,On-time,0,Boeing 737,2024-12-04
FL0964,CloudNine,DEN,LAX,2025-03-31 01:24:46,2025-03-31 03:24:46,On-time,0,Airbus A320,2025-03-31
FL0965,CloudNine,DEN,BOS,2025-02-09 02:37:10,2025-02-09 04:37:10,On-time,0,Embraer 190,2025-02-09
FL0966,AeroFly,ORD,ATL,2025-04-23 03:29:42,2025-04-23 05:29:42,On-time,0,Airbus A320,2025-04-23
FL0967,JetZoom,ATL,DFW,2025-04-11 01:40:35,2025-04-11 03:40:35,On-time,0,Airbus A320,2025-04-11
FL0968,JetZoom,BOS,DEN,2025-01-30 02:35:18,2025-01-30 04:35:18,On-time,0,Boeing 737,2025-01-30
FL0969,SkyHigh,LAX,SEA,2025-04-04 07:56:01,2025-04-04 10:11:01,Delayed,15,Embraer 190,2025-04-04
FL0970,SkyHigh,SEA,DEN,2025-02-04 16:24:50,2025-02-04 18:39:50,Delayed,15,Airbus A350,2025-02-04
FL0971,GlobalWings,DFW,SEA,2025-04-20 00:29:49,2025-04-20 02:29:49,On-time,0,Embraer 190,2025-04-20
FL0972,AeroFly,SFO,ATL,2025-03-28 15:36:51,2025-03-28 17:51:51,Delayed,15,Airbus A320,2025-03-28
FL0973,SkyHigh,MIA,SFO,2025-02-15 04:17:23,2025-02-15 06:17:23,On-time,0,Embraer 190,2025-02-15
FL0974,SkyHigh,MIA,DEN,2025-02-10 11:08:12,2025-02-10 13:08:12,On-time,0,Airbus A320,2025-02-10
FL0975,CloudNine,LAX,MIA,2025-04-08 21:15:48,2025-04-08 23:15:48,On-time,0,Boeing 737,2025-04-08
FL0976,SkyHigh,ATL,SFO,2024-12-14 21:24:06,2024-12-14 23:24:06,On-time,0,Boeing 777,2024-12-14
FL0977,AeroFly,BOS,DFW,2025-01-22 13:24:01,2025-01-22 15:24:01,On-time,0,Boeing 777,2025-01-22
FL0978,JetZoom,DFW,SEA,2025-03-15 11:27:53,2025-03-15 14:57:53,Cancelled,90,Boeing 777,2025-03-15
FL0979,AeroFly,ORD,SEA,2025-02-14 05:48:34,2025-02-14 07:48:34,On-time,0,Airbus A350,2025-02-14
FL0980,AeroFly,DEN,SFO,2025-02-13 11:05:42,2025-02-13 13:05:42,On-time,0,Airbus A320,2025-02-13
FL0981,GlobalWings,ORD,ATL,2025-05-01 01:13:20,2025-05-01 03:43:20,Delayed,30,Boeing 777,2025-05-01
FL0982,JetZoom,MIA,SFO,2025-03-17 11:06:00,2025-03-17 13:36:00,Delayed,30,Airbus A320,2025-03-17
FL0983,JetZoom,ORD,SEA,2025-01-02 13:09:48,2025-01-02 15:39:48,Delayed,30,Airbus A320,2025-01-02
FL0984,CloudNine,SEA,ORD,2025-05-25 07:22:09,2025-05-25 11:22:09,Cancelled,120,Embraer 190,2025-05-25
FL0985,GlobalWings,DEN,SEA,2025-04-27 03:34:21,2025-04-27 05:34:21,On-time,0,Embraer 190,2025-04-27
FL0986,GlobalWings,JFK,SFO,2025-01-03 23:15:53,2025-01-04 01:15:53,On-time,0,Airbus A320,2025-01-03
FL0987,SkyHigh,ATL,DFW,2025-05-18 09:44:33,2025-05-18 11:44:33,On-time,0,Boeing 737,2025-05-18
FL0988,CloudNine,DEN,DFW,2025-02-25 03:44:29,2025-02-25 05:44:29,On-time,0,Embraer 190,2025-02-25
FL0989,GlobalWings,DFW,DEN,2025-03-27 04:16:13,2025-03-27 06:16:13,On-time,0,Boeing 737,2025-03-27
FL0990,AeroFly,BOS,ATL,2025-03-20 08:58:42,2025-03-20 10:58:42,On-time,0,Embraer 190,2025-03-20
FL0991,JetZoom,DFW,DEN,2025-01-20 13:36:54,2025-01-20 15:36:54,On-time,0,Embraer 190,2025-01-20
FL0992,CloudNine,SEA,LAX,2024-12-01 00:22:44,2024-12-01 02:22:44,On-time,0,Boeing 777,2024-12-01
FL0993,CloudNine,ORD,BOS,2025-02-06 12:41:18,2025-02-06 14:56:18,Delayed,15,Boeing 777,2025-02-06
FL0994,CloudNine,BOS,SFO,2024-12-26 10:26:56,2024-12-26 12:56:56,Delayed,30,Boeing 737,2024-12-26
FL0995,SkyHigh,ORD,DEN,2025-03-24 09:50:44,2025-03-24 11:50:44,On-time,0,Boeing 777,2025-03-24
FL0996,AeroFly,DFW,SFO,2025-01-19 15:50:15,2025-01-19 17:50:15,On-time,0,Airbus A350,2025-01-19
FL0997,AeroFly,BOS,MIA,2025-03-22 12:43:13,2025-03-22 16:13:13,Cancelled,90,Airbus A350,2025-03-22
FL0998,JetZoom,ORD,JFK,2024-12-08 11:32:58,2024-12-08 13:32:58,On-time,0,Airbus A320,2024-12-08
